index,Scope,Level 1,Activity,Type,Last level,UOM,GHG/Unit,GHG Conversion Factor
321114,Scope 3,Managed assets- vehicles,Managed cars (by market segment),Dual purpose 4X4,Diesel,km,kg CO2e of CO2 per unit,0.19805
321115,Scope 3,Managed assets- vehicles,Managed cars (by market segment),Dual purpose 4X4,Diesel,miles,kg CO2e of CO2 per unit,0.31874
321116,Scope 3,Managed assets- vehicles,Managed cars (by market segment),MPV,Diesel,km,kg CO2e of CO2 per unit,0.17904
321117,Scope 3,Managed assets- vehicles,Managed cars (by market segment),MPV,Diesel,miles,kg CO2e of CO2 per unit,0.28814
32110,Scope 3,Managed assets- vehicles,Managed cars (by market segment),Mini,Diesel,km,kg CO2e of CH4 per unit,4.6368e-06
32111,Scope 3,Managed assets- vehicles,Managed cars (by market segment),Mini,Diesel,miles,kg CO2e of CH4 per unit,1e-05
32112,Scope 3,Managed assets- vehicles,Managed cars (by market segment),Supermini,Diesel,km,kg CO2e of CH4 per unit,4.6368e-06
32113,Scope 3,Managed assets- vehicles,Managed cars (by market segment),Supermini,Diesel,miles,kg CO2e of CH4 per unit,1e-05
32114,Scope 3,Managed assets- vehicles,Managed cars (by market segment),Lower medium,Diesel,km,kg CO2e of CH4 per unit,4.6368e-06
32115,Scope 3,Managed assets- vehicles,Managed cars (by market segment),Lower medium,Diesel,miles,kg CO2e of CH4 per unit,1e-05
32116,Scope 3,Managed assets- vehicles,Managed cars (by market segment),Upper medium,Diesel,km,kg CO2e of CH4 per unit,4.6368e-06
32117,Scope 3,Managed assets- vehicles,Managed cars (by market segment),Upper medium,Diesel,miles,kg CO2e of CH4 per unit,1e-05
32118,Scope 3,Managed assets- vehicles,Managed cars (by market segment),Executive,Diesel,km,kg CO2e of CH4 per unit,4.6368e-06
32119,Scope 3,Managed assets- vehicles,Managed cars (by market segment),Executive,Diesel,miles,kg CO2e of CH4 per unit,1e-05
321110,Scope 3,Managed assets- vehicles,Managed cars (by market segment),Luxury,Diesel,km,kg CO2e of CH4 per unit,4.6368e-06
321111,Scope 3,Managed assets- vehicles,Managed cars (by market segment),Luxury,Diesel,miles,kg CO2e of CH4 per unit,1e-05
321112,Scope 3,Managed assets- vehicles,Managed cars (by market segment),Sports,Diesel,km,kg CO2e of CH4 per unit,4.6368e-06
321113,Scope 3,Managed assets- vehicles,Managed cars (by market segment),Sports,Diesel,miles,kg CO2e of CH4 per unit,1e-05
321114,Scope 3,Managed assets- vehicles,Managed cars (by market segment),Dual purpose 4X4,Diesel,km,kg CO2e of CH4 per unit,4.6368e-06
321115,Scope 3,Managed assets- vehicles,Managed cars (by market segment),Dual purpose 4X4,Diesel,miles,kg CO2e of CH4 per unit,1e-05
321116,Scope 3,Managed assets- vehicles,Managed cars (by market segment),MPV,Diesel,km,kg CO2e of CH4 per unit,4.6368e-06
321117,Scope 3,Managed assets- vehicles,Managed cars (by market segment),MPV,Diesel,miles,kg CO2e of CH4 per unit,1e-05
32110,Scope 3,Managed assets- vehicles,Managed cars (by market segment),Mini,Diesel,km,kg CO2e of N2O per unit,0.00167
32111,Scope 3,Managed assets- vehicles,Managed cars (by market segment),Mini,Diesel,miles,kg CO2e of N2O per unit,0.00269
32112,Scope 3,Managed assets- vehicles,Managed cars (by market segment),Supermini,Diesel,km,kg CO2e of N2O per unit,0.00167
32113,Scope 3,Managed assets- vehicles,Managed cars (by market segment),Supermini,Diesel,miles,kg CO2e of N2O per unit,0.00269
32114,Scope 3,Managed assets- vehicles,Managed cars (by market segment),Lower medium,Diesel,km,kg CO2e of N2O per unit,0.00167
32115,Scope 3,Managed assets- vehicles,Managed cars (by market segment),Lower medium,Diesel,miles,kg CO2e of N2O per unit,0.00269
32116,Scope 3,Managed assets- vehicles,Managed cars (by market segment),Upper medium,Diesel,km,kg CO2e of N2O per unit,0.00167
32117,Scope 3,Managed assets- vehicles,Managed cars (by market segment),Upper medium,Diesel,miles,kg CO2e of N2O per unit,0.00269
32118,Scope 3,Managed assets- vehicles,Managed cars (by market segment),Executive,Diesel,km,kg CO2e of N2O per unit,0.00167
32119,Scope 3,Managed assets- vehicles,Managed cars (by market segment),Executive,Diesel,miles,kg CO2e of N2O per unit,0.00269
321110,Scope 3,Managed assets- vehicles,Managed cars (by market segment),Luxury,Diesel,km,kg CO2e of N2O per unit,0.00167
321111,Scope 3,Managed assets- vehicles,Managed cars (by market segment),Luxury,Diesel,miles,kg CO2e of N2O per unit,0.00269
321112,Scope 3,Managed assets- vehicles,Managed cars (by market segment),Sports,Diesel,km,kg CO2e of N2O per unit,0.00167
321113,Scope 3,Managed assets- vehicles,Managed cars (by market segment),Sports,Diesel,miles,kg CO2e of N2O per unit,0.00269
321114,Scope 3,Managed assets- vehicles,Managed cars (by market segment),Dual purpose 4X4,Diesel,km,kg CO2e of N2O per unit,0.00167
321115,Scope 3,Managed assets- vehicles,Managed cars (by market segment),Dual purpose 4X4,Diesel,miles,kg CO2e of N2O per unit,0.00269
321116,Scope 3,Managed assets- vehicles,Managed cars (by market segment),MPV,Diesel,km,kg CO2e of N2O per unit,0.00167
321117,Scope 3,Managed assets- vehicles,Managed cars (by market segment),MPV,Diesel,miles,kg CO2e of N2O per unit,0.00269
32110,Scope 3,Managed assets- vehicles,Managed cars (by market segment),Mini,Petrol,km,kg CO2e,0.13063
32111,Scope 3,Managed assets- vehicles,Managed cars (by market segment),Mini,Petrol,miles,kg CO2e,0.21022
32112,Scope 3,Managed assets- vehicles,Managed cars (by market segment),Supermini,Petrol,km,kg CO2e,0.14276
32113,Scope 3,Managed assets- vehicles,Managed cars (by market segment),Supermini,Petrol,miles,kg CO2e,0.22974
32114,Scope 3,Managed assets- vehicles,Managed cars (by market segment),Lower medium,Petrol,km,kg CO2e,0.16123
32115,Scope 3,Managed assets- vehicles,Managed cars (by market segment),Lower medium,Petrol,miles,kg CO2e,0.25948
32116,Scope 3,Managed assets- vehicles,Managed cars (by market segment),Upper medium,Petrol,km,kg CO2e,0.18535
32117,Scope 3,Managed assets- vehicles,Managed cars (by market segment),Upper medium,Petrol,miles,kg CO2e,0.29828
32118,Scope 3,Managed assets- vehicles,Managed cars (by market segment),Executive,Petrol,km,kg CO2e,0.20073
32119,Scope 3,Managed assets- vehicles,Managed cars (by market segment),Executive,Petrol,miles,kg CO2e,0.32304
321110,Scope 3,Managed assets- vehicles,Managed cars (by market segment),Luxury,Petrol,km,kg CO2e,0.30752
321111,Scope 3,Managed assets- vehicles,Managed cars (by market segment),Luxury,Petrol,miles,kg CO2e,0.4949
321112,Scope 3,Managed assets- vehicles,Managed cars (by market segment),Sports,Petrol,km,kg CO2e,0.23396
321113,Scope 3,Managed assets- vehicles,Managed cars (by market segment),Sports,Petrol,miles,kg CO2e,0.37652
321114,Scope 3,Managed assets- vehicles,Managed cars (by market segment),Dual purpose 4X4,Petrol,km,kg CO2e,0.19219
321115,Scope 3,Managed assets- vehicles,Managed cars (by market segment),Dual purpose 4X4,Petrol,miles,kg CO2e,0.3093
321116,Scope 3,Managed assets- vehicles,Managed cars (by market segment),MPV,Petrol,km,kg CO2e,0.17903
321117,Scope 3,Managed assets- vehicles,Managed cars (by market segment),MPV,Petrol,miles,kg CO2e,0.28812
32110,Scope 3,Managed assets- vehicles,Managed cars (by market segment),Mini,Petrol,km,kg CO2e of CO2 per unit,0.12995
32111,Scope 3,Managed assets- vehicles,Managed cars (by market segment),Mini,Petrol,miles,kg CO2e of CO2 per unit,0.20913
32112,Scope 3,Managed assets- vehicles,Managed cars (by market segment),Supermini,Petrol,km,kg CO2e of CO2 per unit,0.14208
32113,Scope 3,Managed assets- vehicles,Managed cars (by market segment),Supermini,Petrol,miles,kg CO2e of CO2 per unit,0.22865
32114,Scope 3,Managed assets- vehicles,Managed cars (by market segment),Lower medium,Petrol,km,kg CO2e of CO2 per unit,0.16055
32115,Scope 3,Managed assets- vehicles,Managed cars (by market segment),Lower medium,Petrol,miles,kg CO2e of CO2 per unit,0.25839
32116,Scope 3,Managed assets- vehicles,Managed cars (by market segment),Upper medium,Petrol,km,kg CO2e of CO2 per unit,0.18467
32117,Scope 3,Managed assets- vehicles,Managed cars (by market segment),Upper medium,Petrol,miles,kg CO2e of CO2 per unit,0.29719
32118,Scope 3,Managed assets- vehicles,Managed cars (by market segment),Executive,Petrol,km,kg CO2e of CO2 per unit,0.20005
32119,Scope 3,Managed assets- vehicles,Managed cars (by market segment),Executive,Petrol,miles,kg CO2e of CO2 per unit,0.32195
321110,Scope 3,Managed assets- vehicles,Managed cars (by market segment),Luxury,Petrol,km,kg CO2e of CO2 per unit,0.30684
321111,Scope 3,Managed assets- vehicles,Managed cars (by market segment),Luxury,Petrol,miles,kg CO2e of CO2 per unit,0.49381
321112,Scope 3,Managed assets- vehicles,Managed cars (by market segment),Sports,Petrol,km,kg CO2e of CO2 per unit,0.23328
321113,Scope 3,Managed assets- vehicles,Managed cars (by market segment),Sports,Petrol,miles,kg CO2e of CO2 per unit,0.37543
321114,Scope 3,Managed assets- vehicles,Managed cars (by market segment),Dual purpose 4X4,Petrol,km,kg CO2e of CO2 per unit,0.19151
321115,Scope 3,Managed assets- vehicles,Managed cars (by market segment),Dual purpose 4X4,Petrol,miles,kg CO2e of CO2 per unit,0.30821
321116,Scope 3,Managed assets- vehicles,Managed cars (by market segment),MPV,Petrol,km,kg CO2e of CO2 per unit,0.17835
321117,Scope 3,Managed assets- vehicles,Managed cars (by market segment),MPV,Petrol,miles,kg CO2e of CO2 per unit,0.28703
32110,Scope 3,Managed assets- vehicles,Managed cars (by market segment),Mini,Petrol,km,kg CO2e of CH4 per unit,0.00036
32111,Scope 3,Managed assets- vehicles,Managed cars (by market segment),Mini,Petrol,miles,kg CO2e of CH4 per unit,0.00057
32112,Scope 3,Managed assets- vehicles,Managed cars (by market segment),Supermini,Petrol,km,kg CO2e of CH4 per unit,0.00036
32113,Scope 3,Managed assets- vehicles,Managed cars (by market segment),Supermini,Petrol,miles,kg CO2e of CH4 per unit,0.00057
32114,Scope 3,Managed assets- vehicles,Managed cars (by market segment),Lower medium,Petrol,km,kg CO2e of CH4 per unit,0.00036
32115,Scope 3,Managed assets- vehicles,Managed cars (by market segment),Lower medium,Petrol,miles,kg CO2e of CH4 per unit,0.00057
32116,Scope 3,Managed assets- vehicles,Managed cars (by market segment),Upper medium,Petrol,km,kg CO2e of CH4 per unit,0.00036
32117,Scope 3,Managed assets- vehicles,Managed cars (by market segment),Upper medium,Petrol,miles,kg CO2e of CH4 per unit,0.00057
32118,Scope 3,Managed assets- vehicles,Managed cars (by market segment),Executive,Petrol,km,kg CO2e of CH4 per unit,0.00036
32119,Scope 3,Managed assets- vehicles,Managed cars (by market segment),Executive,Petrol,miles,kg CO2e of CH4 per unit,0.00057
321110,Scope 3,Managed assets- vehicles,Managed cars (by market segment),Luxury,Petrol,km,kg CO2e of CH4 per unit,0.00036
321111,Scope 3,Managed assets- vehicles,Managed cars (by market segment),Luxury,Petrol,miles,kg CO2e of CH4 per unit,0.00057
321112,Scope 3,Managed assets- vehicles,Managed cars (by market segment),Sports,Petrol,km,kg CO2e of CH4 per unit,0.00036
321113,Scope 3,Managed assets- vehicles,Managed cars (by market segment),Sports,Petrol,miles,kg CO2e of CH4 per unit,0.00057
321114,Scope 3,Managed assets- vehicles,Managed cars (by market segment),Dual purpose 4X4,Petrol,km,kg CO2e of CH4 per unit,0.00036
321115,Scope 3,Managed assets- vehicles,Managed cars (by market segment),Dual purpose 4X4,Petrol,miles,kg CO2e of CH4 per unit,0.00057
321116,Scope 3,Managed assets- vehicles,Managed cars (by market segment),MPV,Petrol,km,kg CO2e of CH4 per unit,0.00036
321117,Scope 3,Managed assets- vehicles,Managed cars (by market segment),MPV,Petrol,miles,kg CO2e of CH4 per unit,0.00057
32110,Scope 3,Managed assets- vehicles,Managed cars (by market segment),Mini,Petrol,km,kg CO2e of N2O per unit,0.00032
32111,Scope 3,Managed assets- vehicles,Managed cars (by market segment),Mini,Petrol,miles,kg CO2e of N2O per unit,0.00052
32112,Scope 3,Managed assets- vehicles,Managed cars (by market segment),Supermini,Petrol,km,kg CO2e of N2O per unit,0.00032
32113,Scope 3,Managed assets- vehicles,Managed cars (by market segment),Supermini,Petrol,miles,kg CO2e of N2O per unit,0.00052
32114,Scope 3,Managed assets- vehicles,Managed cars (by market segment),Lower medium,Petrol,km,kg CO2e of N2O per unit,0.00032
32115,Scope 3,Managed assets- vehicles,Managed cars (by market segment),Lower medium,Petrol,miles,kg CO2e of N2O per unit,0.00052
32116,Scope 3,Managed assets- vehicles,Managed cars (by market segment),Upper medium,Petrol,km,kg CO2e of N2O per unit,0.00032
32117,Scope 3,Managed assets- vehicles,Managed cars (by market segment),Upper medium,Petrol,miles,kg CO2e of N2O per unit,0.00052
32118,Scope 3,Managed assets- vehicles,Managed cars (by market segment),Executive,Petrol,km,kg CO2e of N2O per unit,0.00032
32119,Scope 3,Managed assets- vehicles,Managed cars (by market segment),Executive,Petrol,miles,kg CO2e of N2O per unit,0.00052
321110,Scope 3,Managed assets- vehicles,Managed cars (by market segment),Luxury,Petrol,km,kg CO2e of N2O per unit,0.00032
321111,Scope 3,Managed assets- vehicles,Managed cars (by market segment),Luxury,Petrol,miles,kg CO2e of N2O per unit,0.00052
321112,Scope 3,Managed assets- vehicles,Managed cars (by market segment),Sports,Petrol,km,kg CO2e of N2O per unit,0.00032
321113,Scope 3,Managed assets- vehicles,Managed cars (by market segment),Sports,Petrol,miles,kg CO2e of N2O per unit,0.00052
321114,Scope 3,Managed assets- vehicles,Managed cars (by market segment),Dual purpose 4X4,Petrol,km,kg CO2e of N2O per unit,0.00032
321115,Scope 3,Managed assets- vehicles,Managed cars (by market segment),Dual purpose 4X4,Petrol,miles,kg CO2e of N2O per unit,0.00052
321116,Scope 3,Managed assets- vehicles,Managed cars (by market segment),MPV,Petrol,km,kg CO2e of N2O per unit,0.00032
321117,Scope 3,Managed assets- vehicles,Managed cars (by market segment),MPV,Petrol,miles,kg CO2e of N2O per unit,0.00052
32110,Scope 3,Managed assets- vehicles,Managed cars (by market segment),Mini,Hybrid,km,kg CO2e,
32111,Scope 3,Managed assets- vehicles,Managed cars (by market segment),Mini,Hybrid,miles,kg CO2e,
32112,Scope 3,Managed assets- vehicles,Managed cars (by market segment),Supermini,Hybrid,km,kg CO2e,
32113,Scope 3,Managed assets- vehicles,Managed cars (by market segment),Supermini,Hybrid,miles,kg CO2e,
32114,Scope 3,Managed assets- vehicles,Managed cars (by market segment),Lower medium,Hybrid,km,kg CO2e,
32115,Scope 3,Managed assets- vehicles,Managed cars (by market segment),Lower medium,Hybrid,miles,kg CO2e,
32116,Scope 3,Managed assets- vehicles,Managed cars (by market segment),Upper medium,Hybrid,km,kg CO2e,
32117,Scope 3,Managed assets- vehicles,Managed cars (by market segment),Upper medium,Hybrid,miles,kg CO2e,
32118,Scope 3,Managed assets- vehicles,Managed cars (by market segment),Executive,Hybrid,km,kg CO2e,
32119,Scope 3,Managed assets- vehicles,Managed cars (by market segment),Executive,Hybrid,miles,kg CO2e,
321110,Scope 3,Managed assets- vehicles,Managed cars (by market segment),Luxury,Hybrid,km,kg CO2e,
321111,Scope 3,Managed assets- vehicles,Managed cars (by market segment),Luxury,Hybrid,miles,kg CO2e,
321112,Scope 3,Managed assets- vehicles,Managed cars (by market segment),Sports,Hybrid,km,kg CO2e,
321113,Scope 3,Managed assets- vehicles,Managed cars (by market segment),Sports,Hybrid,miles,kg CO2e,
321114,Scope 3,Managed assets- vehicles,Managed cars (by market segment),Dual purpose 4X4,Hybrid,km,kg CO2e,
321115,Scope 3,Managed assets- vehicles,Managed cars (by market segment),Dual purpose 4X4,Hybrid,miles,kg CO2e,
321116,Scope 3,Managed assets- vehicles,Managed cars (by market segment),MPV,Hybrid,km,kg CO2e,
321117,Scope 3,Managed assets- vehicles,Managed cars (by market segment),MPV,Hybrid,miles,kg CO2e,
32110,Scope 3,Managed assets- vehicles,Managed cars (by market segment),Mini,Hybrid,km,kg CO2e of CO2 per unit,
32111,Scope 3,Managed assets- vehicles,Managed cars (by market segment),Mini,Hybrid,miles,kg CO2e of CO2 per unit,
32112,Scope 3,Managed assets- vehicles,Managed cars (by market segment),Supermini,Hybrid,km,kg CO2e of CO2 per unit,
32113,Scope 3,Managed assets- vehicles,Managed cars (by market segment),Supermini,Hybrid,miles,kg CO2e of CO2 per unit,
32114,Scope 3,Managed assets- vehicles,Managed cars (by market segment),Lower medium,Hybrid,km,kg CO2e of CO2 per unit,
32115,Scope 3,Managed assets- vehicles,Managed cars (by market segment),Lower medium,Hybrid,miles,kg CO2e of CO2 per unit,
32116,Scope 3,Managed assets- vehicles,Managed cars (by market segment),Upper medium,Hybrid,km,kg CO2e of CO2 per unit,
32117,Scope 3,Managed assets- vehicles,Managed cars (by market segment),Upper medium,Hybrid,miles,kg CO2e of CO2 per unit,
32118,Scope 3,Managed assets- vehicles,Managed cars (by market segment),Executive,Hybrid,km,kg CO2e of CO2 per unit,
32119,Scope 3,Managed assets- vehicles,Managed cars (by market segment),Executive,Hybrid,miles,kg CO2e of CO2 per unit,
321110,Scope 3,Managed assets- vehicles,Managed cars (by market segment),Luxury,Hybrid,km,kg CO2e of CO2 per unit,
321111,Scope 3,Managed assets- vehicles,Managed cars (by market segment),Luxury,Hybrid,miles,kg CO2e of CO2 per unit,
321112,Scope 3,Managed assets- vehicles,Managed cars (by market segment),Sports,Hybrid,km,kg CO2e of CO2 per unit,
321113,Scope 3,Managed assets- vehicles,Managed cars (by market segment),Sports,Hybrid,miles,kg CO2e of CO2 per unit,
321114,Scope 3,Managed assets- vehicles,Managed cars (by market segment),Dual purpose 4X4,Hybrid,km,kg CO2e of CO2 per unit,
321115,Scope 3,Managed assets- vehicles,Managed cars (by market segment),Dual purpose 4X4,Hybrid,miles,kg CO2e of CO2 per unit,
321116,Scope 3,Managed assets- vehicles,Managed cars (by market segment),MPV,Hybrid,km,kg CO2e of CO2 per unit,
321117,Scope 3,Managed assets- vehicles,Managed cars (by market segment),MPV,Hybrid,miles,kg CO2e of CO2 per unit,
32110,Scope 3,Managed assets- vehicles,Managed cars (by market segment),Mini,Hybrid,km,kg CO2e of CH4 per unit,
32111,Scope 3,Managed assets- vehicles,Managed cars (by market segment),Mini,Hybrid,miles,kg CO2e of CH4 per unit,
32112,Scope 3,Managed assets- vehicles,Managed cars (by market segment),Supermini,Hybrid,km,kg CO2e of CH4 per unit,
32113,Scope 3,Managed assets- vehicles,Managed cars (by market segment),Supermini,Hybrid,miles,kg CO2e of CH4 per unit,
32114,Scope 3,Managed assets- vehicles,Managed cars (by market segment),Lower medium,Hybrid,km,kg CO2e of CH4 per unit,
32115,Scope 3,Managed assets- vehicles,Managed cars (by market segment),Lower medium,Hybrid,miles,kg CO2e of CH4 per unit,
32116,Scope 3,Managed assets- vehicles,Managed cars (by market segment),Upper medium,Hybrid,km,kg CO2e of CH4 per unit,
32117,Scope 3,Managed assets- vehicles,Managed cars (by market segment),Upper medium,Hybrid,miles,kg CO2e of CH4 per unit,
32118,Scope 3,Managed assets- vehicles,Managed cars (by market segment),Executive,Hybrid,km,kg CO2e of CH4 per unit,
32119,Scope 3,Managed assets- vehicles,Managed cars (by market segment),Executive,Hybrid,miles,kg CO2e of CH4 per unit,
321110,Scope 3,Managed assets- vehicles,Managed cars (by market segment),Luxury,Hybrid,km,kg CO2e of CH4 per unit,
321111,Scope 3,Managed assets- vehicles,Managed cars (by market segment),Luxury,Hybrid,miles,kg CO2e of CH4 per unit,
321112,Scope 3,Managed assets- vehicles,Managed cars (by market segment),Sports,Hybrid,km,kg CO2e of CH4 per unit,
321113,Scope 3,Managed assets- vehicles,Managed cars (by market segment),Sports,Hybrid,miles,kg CO2e of CH4 per unit,
321114,Scope 3,Managed assets- vehicles,Managed cars (by market segment),Dual purpose 4X4,Hybrid,km,kg CO2e of CH4 per unit,
321115,Scope 3,Managed assets- vehicles,Managed cars (by market segment),Dual purpose 4X4,Hybrid,miles,kg CO2e of CH4 per unit,
321116,Scope 3,Managed assets- vehicles,Managed cars (by market segment),MPV,Hybrid,km,kg CO2e of CH4 per unit,
321117,Scope 3,Managed assets- vehicles,Managed cars (by market segment),MPV,Hybrid,miles,kg CO2e of CH4 per unit,
32110,Scope 3,Managed assets- vehicles,Managed cars (by market segment),Mini,Hybrid,km,kg CO2e of N2O per unit,
32111,Scope 3,Managed assets- vehicles,Managed cars (by market segment),Mini,Hybrid,miles,kg CO2e of N2O per unit,
32112,Scope 3,Managed assets- vehicles,Managed cars (by market segment),Supermini,Hybrid,km,kg CO2e of N2O per unit,
32113,Scope 3,Managed assets- vehicles,Managed cars (by market segment),Supermini,Hybrid,miles,kg CO2e of N2O per unit,
32114,Scope 3,Managed assets- vehicles,Managed cars (by market segment),Lower medium,Hybrid,km,kg CO2e of N2O per unit,
32115,Scope 3,Managed assets- vehicles,Managed cars (by market segment),Lower medium,Hybrid,miles,kg CO2e of N2O per unit,
32116,Scope 3,Managed assets- vehicles,Managed cars (by market segment),Upper medium,Hybrid,km,kg CO2e of N2O per unit,
32117,Scope 3,Managed assets- vehicles,Managed cars (by market segment),Upper medium,Hybrid,miles,kg CO2e of N2O per unit,
32118,Scope 3,Managed assets- vehicles,Managed cars (by market segment),Executive,Hybrid,km,kg CO2e of N2O per unit,
32119,Scope 3,Managed assets- vehicles,Managed cars (by market segment),Executive,Hybrid,miles,kg CO2e of N2O per unit,
321110,Scope 3,Managed assets- vehicles,Managed cars (by market segment),Luxury,Hybrid,km,kg CO2e of N2O per unit,
321111,Scope 3,Managed assets- vehicles,Managed cars (by market segment),Luxury,Hybrid,miles,kg CO2e of N2O per unit,
321112,Scope 3,Managed assets- vehicles,Managed cars (by market segment),Sports,Hybrid,km,kg CO2e of N2O per unit,
321113,Scope 3,Managed assets- vehicles,Managed cars (by market segment),Sports,Hybrid,miles,kg CO2e of N2O per unit,
321114,Scope 3,Managed assets- vehicles,Managed cars (by market segment),Dual purpose 4X4,Hybrid,km,kg CO2e of N2O per unit,
321115,Scope 3,Managed assets- vehicles,Managed cars (by market segment),Dual purpose 4X4,Hybrid,miles,kg CO2e of N2O per unit,
321116,Scope 3,Managed assets- vehicles,Managed cars (by market segment),MPV,Hybrid,km,kg CO2e of N2O per unit,
321117,Scope 3,Managed assets- vehicles,Managed cars (by market segment),MPV,Hybrid,miles,kg CO2e of N2O per unit,
32110,Scope 3,Managed assets- vehicles,Managed cars (by market segment),Mini,CNG,km,kg CO2e,
32111,Scope 3,Managed assets- vehicles,Managed cars (by market segment),Mini,CNG,miles,kg CO2e,
32112,Scope 3,Managed assets- vehicles,Managed cars (by market segment),Supermini,CNG,km,kg CO2e,
32113,Scope 3,Managed assets- vehicles,Managed cars (by market segment),Supermini,CNG,miles,kg CO2e,
32114,Scope 3,Managed assets- vehicles,Managed cars (by market segment),Lower medium,CNG,km,kg CO2e,
32115,Scope 3,Managed assets- vehicles,Managed cars (by market segment),Lower medium,CNG,miles,kg CO2e,
32116,Scope 3,Managed assets- vehicles,Managed cars (by market segment),Upper medium,CNG,km,kg CO2e,
32117,Scope 3,Managed assets- vehicles,Managed cars (by market segment),Upper medium,CNG,miles,kg CO2e,
32118,Scope 3,Managed assets- vehicles,Managed cars (by market segment),Executive,CNG,km,kg CO2e,
32119,Scope 3,Managed assets- vehicles,Managed cars (by market segment),Executive,CNG,miles,kg CO2e,
321110,Scope 3,Managed assets- vehicles,Managed cars (by market segment),Luxury,CNG,km,kg CO2e,
321111,Scope 3,Managed assets- vehicles,Managed cars (by market segment),Luxury,CNG,miles,kg CO2e,
321112,Scope 3,Managed assets- vehicles,Managed cars (by market segment),Sports,CNG,km,kg CO2e,
321113,Scope 3,Managed assets- vehicles,Managed cars (by market segment),Sports,CNG,miles,kg CO2e,
321114,Scope 3,Managed assets- vehicles,Managed cars (by market segment),Dual purpose 4X4,CNG,km,kg CO2e,
